null,null,null,null
null,null,null,null
null,null,null,null
A,1,Uruguai,9,3,3,0,0,5,0,5,null,null,null,null,null,null,null,null,null
A,2,Rússia,6,3,2,0,1,8,4,4,null,null,null,null,null,null,null,null,null
B,1,Espanha,5,3,1,2,0,6,5,1,null,null,null,null,null,null,null,null,null
B,2,Portugal,5,3,1,2,0,5,4,1,null,null,null,null,null,null,null,null,null
C,1,França,7,3,2,1,0,3,1,2,null,null,null,null,null,null,null,null,null
C,2,Dinamarca,5,3,1,2,0,2,1,1,null,null,null,null,null,null,null,null,null
D,1,Croácia,9,3,3,0,0,7,1,6,null,null,null,null,null,null,null,null,null
D,2,Argentina,4,3,1,1,1,3,5,-2,null,null,null,null,null,null,null,null,null
E,1,Brasil,7,3,2,1,0,5,1,4,null,null,null,null,null,null,null,null,null
E,2,Suíça,5,3,1,2,0,5,4,1,null,null,null,null,null,null,null,null,null
F,1,Suécia,6,3,2,0,1,5,2,3,null,null,null,null,null,null,null,null,null
F,2,México,6,3,2,0,1,3,4,-1,null,null,null,null,null,null,null,null,null
H,1,Senegal,4,3,1,1,1,4,4,0,null,null,null,null,null,null,null,null,null
H,2,Japão,4,3,1,1,1,4,4,0,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
